wl;up_coef;dw_coef;wl_F;up_coef_F;dw_coef_F;Device ID
670.0102226;0.003627207;0.001422121;429.2938482;9.01E-05;0.000837061;
670.182417;0.003620641;0.001419466;430.0336122;8.91E-05;0.000827716;
670.3545792;0.00361417;0.001416832;430.7732052;8.82E-05;0.000818485;
670.5267092;0.003607826;0.001414216;431.5126273;8.73E-05;0.000809379;
670.6988071;0.00360164;0.001411615;432.2518784;8.64E-05;0.00080041;
670.8708728;0.003595637;0.001409029;432.9909584;8.55E-05;0.000791587;
671.0429063;0.003589815;0.001406475;433.7298673;8.46E-05;0.000782922;
671.2149077;0.003584167;0.001403972;434.468605;8.37E-05;0.000774425;
671.3868769;0.003578685;0.001401538;435.2071716;8.29E-05;0.000766106;
671.558814;0.00357336;0.001399192;435.9455668;8.20E-05;0.000757968;
671.7307189;0.003568185;0.001396955;436.6837908;8.12E-05;0.00075001;
671.9025915;0.003563152;0.001394845;437.4218434;8.04E-05;0.000742236;
672.074432;0.003558255;0.001392874;438.1597245;7.96E-05;0.000734644;
672.2462404;0.003553489;0.00139103;438.8974342;7.88E-05;0.000727237;
672.4180165;0.003548853;0.001389296;439.6349723;7.80E-05;0.000720019;
672.5897604;0.003544345;0.001387652;440.3723389;7.73E-05;0.000713004;
672.7614722;0.003539963;0.00138608;441.1095338;7.66E-05;0.000706212;
672.9331517;0.003535704;0.001384562;441.8465571;7.60E-05;0.000699661;
673.104799;0.003531566;0.001383078;442.5834086;7.53E-05;0.00069337;
673.2764142;0.003527546;0.001381614;443.3200883;7.47E-05;0.000687357;
673.4479971;0.003523639;0.001380166;444.0565962;7.42E-05;0.00068164;
673.6195478;0.003519836;0.001378731;444.7929322;7.36E-05;0.00067623;
673.7910663;0.00351613;0.001377309;445.5290962;7.31E-05;0.000671104;
673.9625525;0.003512514;0.001375898;446.2650883;7.27E-05;0.000666229;
674.1340066;0.00350898;0.001374498;447.0009083;7.22E-05;0.000661576;
674.3054284;0.003505521;0.001373106;447.7365562;7.18E-05;0.000657113;
674.476818;0.003502127;0.00137172;448.4720319;7.14E-05;0.000652808;
674.6481754;0.003498774;0.001370338;449.2073354;7.10E-05;0.000648631;
674.8195005;0.003495437;0.001368955;449.9424667;7.06E-05;0.000644547;
674.9907934;0.003492089;0.001367566;450.6774257;7.02E-05;0.000640517;
675.162054;0.003488705;0.001366167;451.4122123;6.98E-05;0.000636495;
675.3332824;0.003485257;0.001364755;452.1468264;6.94E-05;0.000632437;
675.5044786;0.003481721;0.001363324;452.8812682;6.91E-05;0.0006283;
675.6756425;0.003478077;0.001361872;453.6155373;6.87E-05;0.000624041;
675.8467741;0.003474337;0.001360405;454.349634;6.83E-05;0.000619626;
676.0178735;0.003470518;0.00135893;455.083558;6.79E-05;0.000615063;
676.1889407;0.003466638;0.001357454;455.8173093;6.74E-05;0.000610372;
676.3599755;0.003462716;0.001355984;456.5508879;6.70E-05;0.000605572;
676.5309781;0.00345877;0.001354527;457.2842937;6.66E-05;0.000600683;
676.7019485;0.003454817;0.001353091;458.0175267;6.61E-05;0.000595722;
676.8728865;0.003450874;0.001351682;458.7505868;6.57E-05;0.00059071;
677.0437923;0.003446955;0.001350307;459.4834739;6.52E-05;0.00058566;
677.2146658;0.003443068;0.001348973;460.2161881;6.47E-05;0.000580566;
677.385507;0.003439225;0.001347685;460.9487292;6.41E-05;0.000575415;
677.5563159;0.003435436;0.00134645;461.6810972;6.36E-05;0.000570196;
677.7270926;0.003431713;0.001345274;462.4132921;6.31E-05;0.000564896;
677.8978369;0.003428066;0.001344164;463.1453138;6.25E-05;0.000559504;
678.0685489;0.003424504;0.001343123;463.8771623;6.19E-05;0.000554008;
678.2392287;0.003421036;0.001342139;464.6088374;6.13E-05;0.000548396;
678.4098761;0.003417668;0.001341199;465.3403392;6.07E-05;0.000542661;
678.5804913;0.003414406;0.001340288;466.0716675;6.01E-05;0.000536793;
678.7510741;0.003411259;0.001339392;466.8028224;5.94E-05;0.000530786;
678.9216246;0.003408233;0.001338497;467.5338038;5.88E-05;0.000524631;
679.0921428;0.003405334;0.001337588;468.2646117;5.81E-05;0.00051832;
679.2626287;0.003402563;0.001336654;468.9952459;5.75E-05;0.000511846;
679.4330822;0.0033999;0.001335697;469.7257064;5.68E-05;0.000505206;
679.6035035;0.003397316;0.001334719;470.4559933;5.61E-05;0.0004984;
679.7738924;0.003394783;0.001333724;471.1861063;5.54E-05;0.000491424;
679.9442489;0.003392275;0.001332716;471.9160456;5.46E-05;0.000484277;
680.1145732;0.003389764;0.001331699;472.6458109;5.39E-05;0.000476958;
680.2848651;0.003387223;0.001330675;473.3754024;5.31E-05;0.000469465;
680.4551246;0.003384628;0.001329649;474.1048198;5.23E-05;0.0004618;
680.6253518;0.00338197;0.001328619;474.8340632;5.15E-05;0.000453984;
680.7955467;0.003379246;0.001327585;475.5631325;5.07E-05;0.00044604;
680.9657092;0.003376452;0.001326545;476.2920277;4.98E-05;0.000437993;
681.1358394;0.003373583;0.001325499;477.0207487;4.89E-05;0.000429868;
681.3059372;0.003370635;0.001324444;477.7492955;4.81E-05;0.000421688;
681.4760026;0.003367603;0.00132338;478.477668;4.72E-05;0.00041348;
681.6460357;0.003364489;0.001322307;479.2058661;4.63E-05;0.000405273;
681.8160364;0.003361319;0.001321233;479.9338898;4.55E-05;0.000397098;
681.9860047;0.003358124;0.001320164;480.6617391;4.46E-05;0.000388988;
682.1559407;0.003354935;0.00131911;481.3894138;4.37E-05;0.000380974;
682.3258442;0.003351783;0.001318079;482.116914;4.29E-05;0.000373086;
682.4957154;0.0033487;0.001317079;482.8442396;4.21E-05;0.000365357;
682.6655543;0.003345716;0.001316117;483.5713906;4.13E-05;0.000357814;
682.8353607;0.003342852;0.001315199;484.2983668;4.05E-05;0.000350477;
683.0051347;0.003340088;0.001314311;485.0251683;3.98E-05;0.000343361;
683.1748764;0.003337392;0.001313436;485.7517949;3.90E-05;0.000336483;
683.3445856;0.003334735;0.001312557;486.4782467;3.83E-05;0.000329857;
683.5142625;0.003332085;0.001311658;487.2045235;3.77E-05;0.000323501;
683.6839069;0.003329412;0.001310721;487.9306254;3.70E-05;0.00031743;
683.853519;0.003326685;0.001309729;488.6565523;3.64E-05;0.000311657;
684.0230986;0.003323882;0.001308672;489.3823041;3.59E-05;0.00030618;
684.1926458;0.003321022;0.001307562;490.1078807;3.53E-05;0.000300993;
684.3621606;0.00331813;0.001306419;490.8332822;3.48E-05;0.000296091;
684.531643;0.003315233;0.00130526;491.5585084;3.43E-05;0.00029147;
684.701093;0.003312358;0.001304107;492.2835594;3.39E-05;0.000287123;
684.8705105;0.003309531;0.001302976;493.008435;3.34E-05;0.000283044;
685.0398956;0.003306778;0.001301887;493.7331352;3.30E-05;0.000279224;
685.2092483;0.003304116;0.001300855;494.45766;3.26E-05;0.00027565;
685.3785685;0.003301519;0.001299874;495.1820093;3.23E-05;0.000272311;
685.5478563;0.003298954;0.001298935;495.906183;3.20E-05;0.000269196;
685.7171117;0.003296385;0.001298027;496.6301812;3.17E-05;0.000266293;
685.8863346;0.003293776;0.001297143;497.3540037;3.14E-05;0.000263591;
686.055525;0.003291095;0.001296271;498.0776504;3.11E-05;0.000261079;
686.2246831;0.003288304;0.001295402;498.8011215;3.09E-05;0.000258747;
